county,precinct,office,district,candidate,party,votes,
Cameron,Middle Ward Borough of Emporium,U.S. House,15,Glenn GT Thompson,REP,196,
Cameron,Middle Ward Borough of Emporium,U.S. House,15,Write-ins,,0,
Cameron,Middle Ward Borough of Emporium,U.S. House,15,Over Votes,,0,
Cameron,Middle Ward Borough of Emporium,U.S. House,15,Under Votes,,3,
Cameron,Middle Ward Borough of Emporium,State Senate,25,Margie Brown,DEM,83,
Cameron,Middle Ward Borough of Emporium,State Senate,25,Cris Dush,REP,178,
Cameron,Middle Ward Borough of Emporium,State Senate,25,Write-ins,,0,
Cameron,Middle Ward Borough of Emporium,State Senate,25,Over Votes,,0,
Cameron,Middle Ward Borough of Emporium,State Senate,25,Under Votes,,6,
Cameron,Middle Ward Borough of Emporium,State Representative,67,Martin T. Causer,,237,
Cameron,Middle Ward Borough of Emporium,State Representative,67,Write-ins,,7,
Cameron,Middle Ward Borough of Emporium,State Representative,67,Over Votes,,0,
Cameron,Middle Ward Borough of Emporium,State Representative,67,Under Votes,,23,
Cameron,West Ward Borough of Emporium,Registered Voters,,,,599,
Cameron,West Ward Borough of Emporium,Ballots Cast,,,,462,
Cameron,West Ward Borough of Emporium,Ballots Cast Blank,,,,1,
Cameron,West Ward Borough of Emporium,President,,Joseph R. Biden,DEM,148,
Cameron,West Ward Borough of Emporium,President,,Donald J. Trump,REP,295,
Cameron,West Ward Borough of Emporium,President,,Jo Jorgensen,LIB,13,
Cameron,West Ward Borough of Emporium,President,,Write-ins,,1,
Cameron,West Ward Borough of Emporium,President,,Over Votes,,0,
Cameron,West Ward Borough of Emporium,President,,Under Votes,,5,
Cameron,West Ward Borough of Emporium,Attorney General,,Josh Shapiro,DEM,156,
Cameron,West Ward Borough of Emporium,Attorney General,,Heather Heidelbaugh,REP,289,
Cameron,West Ward Borough of Emporium,Attorney General,,Daniel Wassmer,LIB,5,
Cameron,West Ward Borough of Emporium,Attorney General,,Richard L. Weiss,GRE,4,
Cameron,West Ward Borough of Emporium,Attorney General,,Write-ins,,0,
Cameron,West Ward Borough of Emporium,Attorney General,,Over Votes,,0,
Cameron,West Ward Borough of Emporium,Attorney General,,Under Votes,,8,
Cameron,West Ward Borough of Emporium,Auditor General,,Nina Ahmad,DEM,126,
Cameron,West Ward Borough of Emporium,Auditor General,,Timothy Defoor,REP,288,
Cameron,West Ward Borough of Emporium,Auditor General,,Jennifer Moore,LIB,28,
Cameron,West Ward Borough of Emporium,Auditor General,,Olivia Faison,GRE,7,
Cameron,West Ward Borough of Emporium,Auditor General,,Write-ins,,0,
Cameron,West Ward Borough of Emporium,Auditor General,,Over Votes,,0,
Cameron,West Ward Borough of Emporium,Auditor General,,Under Votes,,13,
Cameron,West Ward Borough of Emporium,State Treasurer,,Joe Torsella,DEM,141,
Cameron,West Ward Borough of Emporium,State Treasurer,,Stacy L. Garrity,REP,302,
Cameron,West Ward Borough of Emporium,State Treasurer,,Joe Soloski,LIB,6,
Cameron,West Ward Borough of Emporium,State Treasurer,,Timothy Runkle,GRE,1,
Cameron,West Ward Borough of Emporium,State Treasurer,,Write-ins,,0,
Cameron,West Ward Borough of Emporium,State Treasurer,,Over Votes,,0,
Cameron,West Ward Borough of Emporium,State Treasurer,,Under Votes,,12,
Cameron,West Ward Borough of Emporium,U.S. House,15,Robert Williams,DEM,127,
Cameron,West Ward Borough of Emporium,U.S. House,15,Glenn GT Thompson,REP,329,
Cameron,West Ward Borough of Emporium,U.S. House,15,Write-ins,,1,
Cameron,West Ward Borough of Emporium,U.S. House,15,Over Votes,,0,
Cameron,West Ward Borough of Emporium,U.S. House,15,Under Votes,,5,
Cameron,West Ward Borough of Emporium,State Senate,25,Margie Brown,DEM,155,
Cameron,West Ward Borough of Emporium,State Senate,25,Cris Dush,REP,300,
Cameron,West Ward Borough of Emporium,State Senate,25,Write-ins,,0,
Cameron,West Ward Borough of Emporium,State Senate,25,Over Votes,,0,
Cameron,West Ward Borough of Emporium,State Senate,25,Under Votes,,7,
Cameron,West Ward Borough of Emporium,State Representative,67,Martin T. Causer,,406,
Cameron,West Ward Borough of Emporium,State Representative,67,Write-ins,,13,
Cameron,West Ward Borough of Emporium,State Representative,67,Over Votes,,0,
Cameron,West Ward Borough of Emporium,State Representative,67,Under Votes,,43,
Cameron,Gibson Township,Registered Voters,,,,129,
Cameron,Gibson Township,Ballots Cast,,,,106,
Cameron,Gibson Township,Ballots Cast Blank,,,,0,
Cameron,Gibson Township,President,,Joseph R. Biden,DEM,15,
Cameron,Gibson Township,President,,Donald J. Trump,REP,90,
Cameron,Gibson Township,President,,Jo Jorgensen,LIB,0,
Cameron,Gibson Township,President,,Write-ins,,0,
Cameron,Gibson Township,President,,Over Votes,,0,
Cameron,Gibson Township,President,,Under Votes,,1,
Cameron,Gibson Township,Attorney General,,Josh Shapiro,DEM,15,
Cameron,Gibson Township,Attorney General,,Heather Heidelbaugh,REP,87,
Cameron,Gibson Township,Attorney General,,Daniel Wassmer,LIB,1,
Cameron,Gibson Township,Attorney General,,Richard L. Weiss,GRE,1,
Cameron,Gibson Township,Attorney General,,Write-ins,,0,
Cameron,Gibson Township,Attorney General,,Over Votes,,0,
Cameron,Gibson Township,Attorney General,,Under Votes,,2,
Cameron,Gibson Township,Auditor General,,Nina Ahmad,DEM,15,
Cameron,Gibson Township,Auditor General,,Timothy Defoor,REP,83,
Cameron,Gibson Township,Auditor General,,Jennifer Moore,LIB,4,
Cameron,Gibson Township,Auditor General,,Olivia Faison,GRE,2,
Cameron,Gibson Township,Auditor General,,Write-ins,,0,
Cameron,Gibson Township,Auditor General,,Over Votes,,0,
Cameron,Gibson Township,Auditor General,,Under Votes,,2,
Cameron,Gibson Township,State Treasurer,,Joe Torsella,DEM,13,
Cameron,Gibson Township,State Treasurer,,Stacy L. Garrity,REP,86,
Cameron,Gibson Township,State Treasurer,,Joe Soloski,LIB,2,
Cameron,Gibson Township,State Treasurer,,Timothy Runkle,GRE,4,
Cameron,Gibson Township,State Treasurer,,Write-ins,,0,
Cameron,Gibson Township,State Treasurer,,Over Votes,,0,
Cameron,Gibson Township,State Treasurer,,Under Votes,,1,
Cameron,Gibson Township,U.S. House,15,Robert Williams,DEM,16,
Cameron,Gibson Township,U.S. House,15,Glenn GT Thompson,REP,88,
Cameron,Gibson Township,U.S. House,15,Write-ins,,0,
Cameron,Gibson Township,U.S. House,15,Over Votes,,0,
Cameron,Gibson Township,U.S. House,15,Under Votes,,2,
Cameron,Gibson Township,State Senate,25,Margie Brown,DEM,19,
Cameron,Gibson Township,State Senate,25,Cris Dush,REP,85,
Cameron,Gibson Township,State Senate,25,Write-ins,,0,
Cameron,Gibson Township,State Senate,25,Over Votes,,0,
Cameron,Gibson Township,State Senate,25,Under Votes,,2,
Cameron,Gibson Township,State Representative,67,Martin T. Causer,,97,
Cameron,Gibson Township,State Representative,67,Write-ins,,0,
Cameron,Gibson Township,State Representative,67,Over Votes,,0,
Cameron,Gibson Township,State Representative,67,Under Votes,,9,
Cameron,Grove Township,Registered Voters,,,,89,
Cameron,Grove Township,Ballots Cast,,,,75,
Cameron,Grove Township,Ballots Cast Blank,,,,0,
Cameron,Grove Township,President,,Joseph R. Biden,DEM,18,
Cameron,Grove Township,President,,Donald J. Trump,REP,56,
Cameron,Grove Township,President,,Jo Jorgensen,LIB,1,
Cameron,Grove Township,President,,Write-ins,,0,
Cameron,Grove Township,President,,Over Votes,,0,
Cameron,Grove Township,President,,Under Votes,,0,
Cameron,Grove Township,Attorney General,,Josh Shapiro,DEM,23,
Cameron,Grove Township,Attorney General,,Heather Heidelbaugh,REP,51,
Cameron,Grove Township,Attorney General,,Daniel Wassmer,LIB,0,
Cameron,Grove Township,Attorney General,,Richard L. Weiss,GRE,0,
Cameron,Grove Township,Attorney General,,Write-ins,,0,
Cameron,Grove Township,Attorney General,,Over Votes,,0,
Cameron,Grove Township,Attorney General,,Under Votes,,1,
Cameron,Grove Township,Auditor General,,Nina Ahmad,DEM,19,
Cameron,Grove Township,Auditor General,,Timothy Defoor,REP,48,
Cameron,Grove Township,Auditor General,,Jennifer Moore,LIB,4,
Cameron,Grove Township,Auditor General,,Olivia Faison,GRE,1,
Cameron,Grove Township,Auditor General,,Write-ins,,0,
Cameron,Grove Township,Auditor General,,Over Votes,,0,
Cameron,Grove Township,Auditor General,,Under Votes,,3,
Cameron,Grove Township,State Treasurer,,Joe Torsella,DEM,16,
Cameron,Grove Township,State Treasurer,,Stacy L. Garrity,REP,55,
Cameron,Grove Township,State Treasurer,,Joe Soloski,LIB,1,
Cameron,Grove Township,State Treasurer,,Timothy Runkle,GRE,0,
Cameron,Grove Township,State Treasurer,,Write-ins,,0,
Cameron,Grove Township,State Treasurer,,Over Votes,,0,
Cameron,Grove Township,State Treasurer,,Under Votes,,3,
Cameron,Grove Township,U.S. House,15,Robert Williams,DEM,16,
Cameron,Grove Township,U.S. House,15,Glenn GT Thompson,REP,59,
Cameron,Grove Township,U.S. House,15,Write-ins,,0,
Cameron,Grove Township,U.S. House,15,Over Votes,,0,
Cameron,Grove Township,U.S. House,15,Under Votes,,0,
Cameron,Grove Township,State Senate,25,Margie Brown,DEM,20,
Cameron,Grove Township,State Senate,25,Cris Dush,REP,55,
Cameron,Grove Township,State Senate,25,Write-ins,,0,
Cameron,Grove Township,State Senate,25,Over Votes,,0,
Cameron,Grove Township,State Senate,25,Under Votes,,0,
Cameron,Grove Township,State Representative,67,Martin T. Causer,,71,
Cameron,Grove Township,State Representative,67,Write-ins,,1,
Cameron,Grove Township,State Representative,67,Over Votes,,0,
Cameron,Grove Township,State Representative,67,Under Votes,,3,
Cameron,Lumber Township,Registered Voters,,,,160,
Cameron,Lumber Township,Ballots Cast,,,,134,
Cameron,Lumber Township,Ballots Cast Blank,,,,0,
Cameron,Lumber Township,President,,Joseph R. Biden,DEM,44,
Cameron,Lumber Township,President,,Donald J. Trump,REP,85,
Cameron,Lumber Township,President,,Jo Jorgensen,LIB,3,
Cameron,Lumber Township,President,,Write-ins,,2,
Cameron,Lumber Township,President,,Over Votes,,0,
Cameron,Lumber Township,President,,Under Votes,,0,
Cameron,Lumber Township,Attorney General,,Josh Shapiro,DEM,45,
Cameron,Lumber Township,Attorney General,,Heather Heidelbaugh,REP,78,
Cameron,Lumber Township,Attorney General,,Daniel Wassmer,LIB,6,
Cameron,Lumber Township,Attorney General,,Richard L. Weiss,GRE,2,
Cameron,Lumber Township,Attorney General,,Write-ins,,0,
Cameron,Lumber Township,Attorney General,,Over Votes,,0,
Cameron,Lumber Township,Attorney General,,Under Votes,,3,
Cameron,Lumber Township,Auditor General,,Nina Ahmad,DEM,35,
Cameron,Lumber Township,Auditor General,,Timothy Defoor,REP,83,
Cameron,Lumber Township,Auditor General,,Jennifer Moore,LIB,9,
Cameron,Lumber Township,Auditor General,,Olivia Faison,GRE,4,
Cameron,Lumber Township,Auditor General,,Write-ins,,0,
Cameron,Lumber Township,Auditor General,,Over Votes,,0,
Cameron,Lumber Township,Auditor General,,Under Votes,,3,
Cameron,Lumber Township,State Treasurer,,Joe Torsella,DEM,43,
Cameron,Lumber Township,State Treasurer,,Stacy L. Garrity,REP,82,
Cameron,Lumber Township,State Treasurer,,Joe Soloski,LIB,5,
Cameron,Lumber Township,State Treasurer,,Timothy Runkle,GRE,2,
Cameron,Lumber Township,State Treasurer,,Write-ins,,0,
Cameron,Lumber Township,State Treasurer,,Over Votes,,0,
Cameron,Lumber Township,State Treasurer,,Under Votes,,2,
Cameron,Lumber Township,U.S. House,15,Robert Williams,DEM,39,
Cameron,Lumber Township,U.S. House,15,Glenn GT Thompson,REP,94,
Cameron,Lumber Township,U.S. House,15,Write-ins,,0,
Cameron,Lumber Township,U.S. House,15,Over Votes,,0,
Cameron,Lumber Township,U.S. House,15,Under Votes,,1,
Cameron,Lumber Township,State Senate,25,Margie Brown,DEM,47,
Cameron,Lumber Township,State Senate,25,Cris Dush,REP,85,
Cameron,Lumber Township,State Senate,25,Write-ins,,0,
Cameron,Lumber Township,State Senate,25,Over Votes,,0,
Cameron,Lumber Township,State Senate,25,Under Votes,,2,
Cameron,Lumber Township,State Representative,67,Martin T. Causer,,109,
Cameron,Lumber Township,State Representative,67,Write-ins,,5,
Cameron,Lumber Township,State Representative,67,Over Votes,,0,
Cameron,Lumber Township,State Representative,67,Under Votes,,20,
Cameron,Portage Township,Registered Voters,,,,111,
Cameron,Portage Township,Ballots Cast,,,,80,
Cameron,Portage Township,Ballots Cast Blank,,,,0,
Cameron,Portage Township,President,,Joseph R. Biden,DEM,11,
Cameron,Portage Township,President,,Donald J. Trump,REP,69,
Cameron,Portage Township,President,,Jo Jorgensen,LIB,0,
Cameron,Portage Township,President,,Write-ins,,0,
Cameron,Portage Township,President,,Over Votes,,0,
Cameron,Portage Township,President,,Under Votes,,0,
Cameron,Portage Township,Attorney General,,Josh Shapiro,DEM,14,
Cameron,Portage Township,Attorney General,,Heather Heidelbaugh,REP,64,
Cameron,Portage Township,Attorney General,,Daniel Wassmer,LIB,0,
Cameron,Portage Township,Attorney General,,Richard L. Weiss,GRE,1,
Cameron,Portage Township,Attorney General,,Write-ins,,0,
Cameron,Portage Township,Attorney General,,Over Votes,,0,
Cameron,Portage Township,Attorney General,,Under Votes,,1,
Cameron,Portage Township,Auditor General,,Nina Ahmad,DEM,9,
Cameron,Portage Township,Auditor General,,Timothy Defoor,REP,65,
Cameron,Portage Township,Auditor General,,Jennifer Moore,LIB,2,
Cameron,Portage Township,Auditor General,,Olivia Faison,GRE,3,
Cameron,Portage Township,Auditor General,,Write-ins,,0,
Cameron,Portage Township,Auditor General,,Over Votes,,0,
Cameron,Portage Township,Auditor General,,Under Votes,,1,
Cameron,Portage Township,State Treasurer,,Joe Torsella,DEM,11,
Cameron,Portage Township,State Treasurer,,Stacy L. Garrity,REP,67,
Cameron,Portage Township,State Treasurer,,Joe Soloski,LIB,1,
Cameron,Portage Township,State Treasurer,,Timothy Runkle,GRE,1,
Cameron,Portage Township,State Treasurer,,Write-ins,,0,
Cameron,Portage Township,State Treasurer,,Over Votes,,0,
Cameron,Portage Township,State Treasurer,,Under Votes,,0,
Cameron,Portage Township,U.S. House,15,Robert Williams,DEM,12,
Cameron,Portage Township,U.S. House,15,Glenn GT Thompson,REP,66,
Cameron,Portage Township,U.S. House,15,Write-ins,,0,
Cameron,Portage Township,U.S. House,15,Over Votes,,0,
Cameron,Portage Township,U.S. House,15,Under Votes,,2,
Cameron,Portage Township,State Senate,25,Margie Brown,DEM,16,
Cameron,Portage Township,State Senate,25,Cris Dush,REP,63,
Cameron,Portage Township,State Senate,25,Write-ins,,0,
Cameron,Portage Township,State Senate,25,Over Votes,,0,
Cameron,Portage Township,State Senate,25,Under Votes,,1,
Cameron,Portage Township,State Representative,67,Martin T. Causer,,78,
Cameron,Portage Township,State Representative,67,Write-ins,,0,
Cameron,Portage Township,State Representative,67,Over Votes,,0,
Cameron,Portage Township,State Representative,67,Under Votes,,2,
Cameron,East Shippen Township,Registered Voters,,,,551,
Cameron,East Shippen Township,Ballots Cast,,,,445,
Cameron,East Shippen Township,Ballots Cast Blank,,,,1,
Cameron,East Shippen Township,President,,Joseph R. Biden,DEM,131,
Cameron,East Shippen Township,President,,Donald J. Trump,REP,307,
Cameron,East Shippen Township,President,,Jo Jorgensen,LIB,3,
Cameron,East Shippen Township,President,,Write-ins,,1,
Cameron,East Shippen Township,President,,Over Votes,,0,
Cameron,East Shippen Township,President,,Under Votes,,3,
Cameron,East Shippen Township,Attorney General,,Josh Shapiro,DEM,142,
Cameron,East Shippen Township,Attorney General,,Heather Heidelbaugh,REP,284,
Cameron,East Shippen Township,Attorney General,,Daniel Wassmer,LIB,10,
Cameron,East Shippen Township,Attorney General,,Richard L. Weiss,GRE,0,
Cameron,East Shippen Township,Attorney General,,Write-ins,,0,
Cameron,East Shippen Township,Attorney General,,Over Votes,,0,
Cameron,East Shippen Township,Attorney General,,Under Votes,,9,
Cameron,East Shippen Township,Auditor General,,Nina Ahmad,DEM,110,
Cameron,East Shippen Township,Auditor General,,Timothy Defoor,REP,297,
Cameron,East Shippen Township,Auditor General,,Jennifer Moore,LIB,18,
Cameron,East Shippen Township,Auditor General,,Olivia Faison,GRE,7,
Cameron,East Shippen Township,Auditor General,,Write-ins,,0,
Cameron,East Shippen Township,Auditor General,,Over Votes,,0,
Cameron,East Shippen Township,Auditor General,,Under Votes,,13,
Cameron,East Shippen Township,State Treasurer,,Joe Torsella,DEM,132,
Cameron,East Shippen Township,State Treasurer,,Stacy L. Garrity,REP,286,
Cameron,East Shippen Township,State Treasurer,,Joe Soloski,LIB,14,
Cameron,East Shippen Township,State Treasurer,,Timothy Runkle,GRE,2,
Cameron,East Shippen Township,State Treasurer,,Write-ins,,0,
Cameron,East Shippen Township,State Treasurer,,Over Votes,,0,
Cameron,East Shippen Township,State Treasurer,,Under Votes,,11,
Cameron,East Shippen Township,U.S. House,15,Robert Williams,DEM,119,
Cameron,East Shippen Township,U.S. House,15,Glenn GT Thompson,REP,316,
Cameron,East Shippen Township,U.S. House,15,Write-ins,,2,
Cameron,East Shippen Township,U.S. House,15,Over Votes,,0,
Cameron,East Shippen Township,U.S. House,15,Under Votes,,8,
Cameron,East Shippen Township,State Senate,25,Margie Brown,DEM,142,
Cameron,East Shippen Township,State Senate,25,Cris Dush,REP,293,
Cameron,East Shippen Township,State Senate,25,Write-ins,,1,
Cameron,East Shippen Township,State Senate,25,Over Votes,,0,
Cameron,East Shippen Township,State Senate,25,Under Votes,,9,
Cameron,East Shippen Township,State Representative,67,Martin T. Causer,,394,
Cameron,East Shippen Township,State Representative,67,Write-ins,,9,
Cameron,East Shippen Township,State Representative,67,Over Votes,,0,
Cameron,East Shippen Township,State Representative,67,Under Votes,,42,
Cameron,West Shippen Township,Registered Voters,,,,821,
Cameron,West Shippen Township,Ballots Cast,,,,673,
Cameron,West Shippen Township,Ballots Cast Blank,,,,0,
Cameron,West Shippen Township,President,,Joseph R. Biden,DEM,138,
Cameron,West Shippen Township,President,,Donald J. Trump,REP,529,
Cameron,West Shippen Township,President,,Jo Jorgensen,LIB,2,
Cameron,West Shippen Township,President,,Write-ins,,0,
Cameron,West Shippen Township,President,,Over Votes,,0,
Cameron,West Shippen Township,President,,Under Votes,,4,
Cameron,West Shippen Township,Attorney General,,Josh Shapiro,DEM,137,
Cameron,West Shippen Township,Attorney General,,Heather Heidelbaugh,REP,504,
Cameron,West Shippen Township,Attorney General,,Daniel Wassmer,LIB,14,
Cameron,West Shippen Township,Attorney General,,Richard L. Weiss,GRE,4,
Cameron,West Shippen Township,Attorney General,,Write-ins,,0,
Cameron,West Shippen Township,Attorney General,,Over Votes,,0,
Cameron,West Shippen Township,Attorney General,,Under Votes,,14,
Cameron,West Shippen Township,Auditor General,,Nina Ahmad,DEM,105,
Cameron,West Shippen Township,Auditor General,,Timothy Defoor,REP,510,
Cameron,West Shippen Township,Auditor General,,Jennifer Moore,LIB,31,
Cameron,West Shippen Township,Auditor General,,Olivia Faison,GRE,6,
Cameron,West Shippen Township,Auditor General,,Write-ins,,0,
Cameron,West Shippen Township,Auditor General,,Over Votes,,0,
